net1,net2,top,dyn
1221,1221,0.0,0.0
1221,1222,0.0,1.4142135623730951
1221,1223,0.0,1.4142135623730951
1221,1224,0.0,1.4142135623730951
1221,1225,0.0,1.4142135623730951
1221,1226,0.0,2.449489742783178
1221,1231,0.0,2.449489742783178
1221,1232,0.0,2.449489742783178
1221,1281,1.7320508075688772,3.4641016151377544
1221,1291,1.7320508075688772,4.0
1221,1211,1.0,2.0
1221,1271,2.0,3.4641016151377544
1221,1201,1.0,3.1622776601683795
1221,1202,1.0,3.1622776601683795
1221,1451,1.7320508075688772,3.4641016151377544
1221,1461,1.4142135623730951,3.1622776601683795
1221,1462,1.4142135623730951,3.7416573867739413
1221,1481,1.4142135623730951,2.8284271247461903
1221,1491,1.0,2.449489742783178
1221,1492,1.0,3.1622776601683795
1221,1411,1.0,3.1622776601683795
1221,1412,1.0,3.7416573867739413
1221,1471,1.4142135623730951,3.7416573867739413
1221,1472,1.4142135623730951,3.7416573867739413
1221,1401,1.0,3.1622776601683795
1221,1402,1.0,3.1622776601683795
1221,1321,1.4142135623730951,3.4641016151377544
1221,1361,1.7320508075688772,4.0
1221,1381,1.4142135623730951,3.7416573867739413
1221,1382,1.4142135623730951,4.242640687119285
1221,1391,1.4142135623730951,3.4641016151377544
1221,1311,1.4142135623730951,2.8284271247461903
1221,1371,1.4142135623730951,3.7416573867739413
1221,1372,1.4142135623730951,3.7416573867739413
1221,1301,1.7320508075688772,2.8284271247461903
1221,1501,1.0,3.1622776601683795
1221,1502,1.0,3.1622776601683795
1221,1121,1.0,2.8284271247461903
1221,1141,0.0,2.449489742783178
1221,1142,0.0,3.1622776601683795
1221,1131,0.0,2.449489742783178
1221,1132,0.0,2.449489742783178
1221,1181,1.4142135623730951,2.8284271247461903
1221,1191,1.0,2.0
1221,1192,1.0,2.449489742783178
1221,1193,1.0,2.449489742783178
1221,1194,1.0,2.449489742783178
1221,1195,1.0,2.449489742783178
1221,1196,1.0,3.1622776601683795
1221,1111,1.0,3.1622776601683795
1221,1112,1.0,3.7416573867739413
1221,1101,1.0,3.1622776601683795
1221,1102,1.0,3.1622776601683795
1221,1021,1.4142135623730951,3.4641016151377544
1221,1041,1.0,2.0
1221,1031,1.4142135623730951,2.0
1221,1051,1.0,2.8284271247461903
1221,1091,1.4142135623730951,3.4641016151377544
1221,1011,1.4142135623730951,2.8284271247461903
1221,1001,1.7320508075688772,2.8284271247461903
1221,2241,1.0,4.47213595499958
1221,2251,0.0,4.0
1221,2252,0.0,4.242640687119285
1221,2253,0.0,4.242640687119285
1221,2254,0.0,4.242640687119285
1221,2255,0.0,4.242640687119285
